scenario,Fishing,Warming,type,species,seed,term,estimate,std.error,statistic,p.value,scenario2,scenario3
Fished_NoWarming_ctrl_cod_1,Fishing,No Warming,ctrl,cod,1,temp,-1.2176618119748282e-16,8.894650291116437e-17,-1.368982222034038,0.17413441853456071,Fished_NoWarming_ctrl_cod,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_cod_10,Fishing,No Warming,ctrl,cod,10,temp,8.033332864676649e-17,9.921517714587848e-17,0.8096879021709597,0.4200812118630829,Fished_NoWarming_ctrl_cod,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_cod_11,Fishing,No Warming,ctrl,cod,11,temp,1.0792337220913652e-16,9.916744121368904e-17,1.0882944128464496,0.2791343362038917,Fished_NoWarming_ctrl_cod,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_cod_12,Fishing,No Warming,ctrl,cod,12,temp,7.349286299630872e-17,9.477681434268334e-17,0.7754308214093533,0.4399523022748426,Fished_NoWarming_ctrl_cod,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_cod_13,Fishing,No Warming,ctrl,cod,13,temp,-6.524539295764887e-17,8.28453791599041e-17,-0.7875562115747627,0.4328570051086025,Fished_NoWarming_ctrl_cod,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_cod_14,Fishing,No Warming,ctrl,cod,14,temp,-3.4859233344883025e-17,1.0240399150318592e-16,-0.34040893165574027,0.734277203504599,Fished_NoWarming_ctrl_cod,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_cod_15,Fishing,No Warming,ctrl,cod,15,temp,6.780986150750785e-17,8.562985933598447e-17,0.7918950472806853,0.43033451561422875,Fished_NoWarming_ctrl_cod,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_cod_16,Fishing,No Warming,ctrl,cod,16,temp,-1.6103725747663125e-16,9.493451425701564e-17,-1.6962983245551355,0.09300383246146905,Fished_NoWarming_ctrl_cod,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_cod_17,Fishing,No Warming,ctrl,cod,17,temp,-2.2042553047544824e-18,9.31539129057972e-17,-0.023662509024001566,0.9811699254543964,Fished_NoWarming_ctrl_cod,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_cod_18,Fishing,No Warming,ctrl,cod,18,temp,1.231602660715176e-17,9.331610361329911e-17,0.13198179231946114,0.8952692869287239,Fished_NoWarming_ctrl_cod,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_cod_19,Fishing,No Warming,ctrl,cod,19,temp,-1.3836944932541496e-16,9.117439215008249e-17,-1.517635007619733,0.13232582427647485,Fished_NoWarming_ctrl_cod,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_cod_2,Fishing,No Warming,ctrl,cod,2,temp,-1.1002317834807202e-17,9.186856750056375e-17,-0.1197615042243876,0.9049172517529097,Fished_NoWarming_ctrl_cod,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_cod_20,Fishing,No Warming,ctrl,cod,20,temp,3.76753735971776e-17,7.882428845123981e-17,0.47796655494687196,0.6337384552126918,Fished_NoWarming_ctrl_cod,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_cod_21,Fishing,No Warming,ctrl,cod,21,temp,2.9560185357126524e-16,9.557999293668461e-17,3.092716838419122,0.0025837033269961803,Fished_NoWarming_ctrl_cod,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_cod_22,Fishing,No Warming,ctrl,cod,22,temp,5.2081605972302615e-17,1.1260580377305913e-16,0.4625126257014748,0.6447390374931516,Fished_NoWarming_ctrl_cod,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_cod_23,Fishing,No Warming,ctrl,cod,23,temp,-1.1332880065585637e-17,1.250128812670255e-16,-0.09065369864869195,0.9279527934409881,Fished_NoWarming_ctrl_cod,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_cod_24,Fishing,No Warming,ctrl,cod,24,temp,-1.3711131927150848e-16,1.0580734068089708e-16,-1.2958582872337814,0.1980680701293295,Fished_NoWarming_ctrl_cod,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_cod_25,Fishing,No Warming,ctrl,cod,25,temp,1.2353879543002864e-16,1.2331175222798316e-16,1.001841213006411,0.3188875911856854,Fished_NoWarming_ctrl_cod,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_cod_26,Fishing,No Warming,ctrl,cod,26,temp,-1.877630085254947e-16,1.1212211995543693e-16,-1.674629489703917,0.09719543736558124,Fished_NoWarming_ctrl_cod,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_cod_27,Fishing,No Warming,ctrl,cod,27,temp,-1.5060377957849333e-16,1.0798998035038109e-16,-1.3946088247247457,0.1662871338999345,Fished_NoWarming_ctrl_cod,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_cod_28,Fishing,No Warming,ctrl,cod,28,temp,2.3911958985886937e-17,1.1025214251908607e-16,0.2168843021054894,0.8287493803172734,Fished_NoWarming_ctrl_cod,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_cod_29,Fishing,No Warming,ctrl,cod,29,temp,1.352945743895123e-16,8.472985133318567e-17,1.5967757792644943,0.11353539823078158,Fished_NoWarming_ctrl_cod,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_cod_3,Fishing,No Warming,ctrl,cod,3,temp,3.605712875529157e-18,8.888256630669778e-17,0.040567155352910264,0.9677235010114218,Fished_NoWarming_ctrl_cod,Fished_NoWarming_ctrl
